Streaming output truncated to the last 5000 lines.
step 500: train loss 2.4262, val loss 2.4279
saving checkpoint to out/block_size128_n_layer6_n_head8_n_embd128_batch_size8_max_iters2000_dropout0.2
iter 500: loss 2.4267, time 414.19ms, mfu 0.14%
iter 505: loss 2.4298, time 20.92ms, mfu 0.14%
iter 510: loss 2.4774, time 20.16ms, mfu 0.14%
iter 515: loss 2.4197, time 20.73ms, mfu 0.14%
iter 520: loss 2.5470, time 22.67ms, mfu 0.14%
iter 525: loss 2.4739, time 20.07ms, mfu 0.14%
iter 530: loss 2.3392, time 19.74ms, mfu 0.14%
iter 535: loss 2.3769, time 28.03ms, mfu 0.13%
iter 540: loss 2.3591, time 28.39ms, mfu 0.13%
iter 545: loss 2.4279, time 25.56ms, mfu 0.13%
iter 550: loss 2.4089, time 19.59ms, mfu 0.13%
iter 555: loss 2.4555, time 20.54ms, mfu 0.13%
iter 560: loss 2.4588, time 21.91ms, mfu 0.13%
iter 565: loss 2.4811, time 26.59ms, mfu 0.13%
iter 570: loss 2.3892, time 31.41ms, mfu 0.12%
iter 575: loss 2.4887, time 20.21ms, mfu 0.12%
iter 580: loss 2.4137, time 26.68ms, mfu 0.12%
iter 585: loss 2.4127, time 25.89ms, mfu 0.12%
iter 590: loss 2.4295, time 27.19ms, mfu 0.12%
iter 595: loss 2.4823, time 24.61ms, mfu 0.12%
iter 600: loss 2.3661, time 28.79ms, mfu 0.11%
iter 605: loss 2.4833, time 15.68ms, mfu 0.12%
iter 610: loss 2.4092, time 16.20ms, mfu 0.13%
iter 615: loss 2.3771, time 16.08ms, mfu 0.13%
iter 620: loss 2.4514, time 16.16ms, mfu 0.13%
iter 625: loss 2.3950, time 16.47ms, mfu 0.14%
iter 630: loss 2.4802, time 16.03ms, mfu 0.14%
iter 635: loss 2.3720, time 17.96ms, mfu 0.14%
iter 640: loss 2.3403, time 27.52ms, mfu 0.14%
iter 645: loss 2.4421, time 19.81ms, mfu 0.14%
iter 650: loss 2.4690, time 15.96ms, mfu 0.14%
iter 655: loss 2.3816, time 15.91ms, mfu 0.14%
iter 660: loss 2.4534, time 16.78ms, mfu 0.15%
iter 665: loss 2.3639, time 15.42ms, mfu 0.15%
iter 670: loss 2.4145, time 17.17ms, mfu 0.15%
iter 675: loss 2.3648, time 16.42ms, mfu 0.15%
iter 680: loss 2.3708, time 15.99ms, mfu 0.15%
iter 685: loss 2.3465, time 17.71ms, mfu 0.15%
iter 690: loss 2.5124, time 15.66ms, mfu 0.16%
iter 695: loss 2.3394, time 15.77ms, mfu 0.16%
iter 700: loss 2.4357, time 26.07ms, mfu 0.15%
iter 705: loss 2.4610, time 16.06ms, mfu 0.15%
iter 710: loss 2.3467, time 17.20ms, mfu 0.15%
iter 715: loss 2.3492, time 16.39ms, mfu 0.16%
iter 720: loss 2.4030, time 23.19ms, mfu 0.15%
iter 725: loss 2.4174, time 16.44ms, mfu 0.15%
iter 730: loss 2.4114, time 15.69ms, mfu 0.16%
iter 735: loss 2.3828, time 15.87ms, mfu 0.16%
iter 740: loss 2.4229, time 17.75ms, mfu 0.16%
iter 745: loss 2.4161, time 16.75ms, mfu 0.16%
step 750: train loss 2.3421, val loss 2.3349
saving checkpoint to out/block_size128_n_layer6_n_head8_n_embd128_batch_size8_max_iters2000_dropout0.2
iter 750: loss 2.4180, time 315.44ms, mfu 0.14%
iter 755: loss 2.3752, time 16.29ms, mfu 0.14%
iter 760: loss 2.4170, time 18.04ms, mfu 0.15%
iter 765: loss 2.3522, time 16.03ms, mfu 0.15%
iter 770: loss 2.4462, time 16.49ms, mfu 0.15%
iter 775: loss 2.3461, time 15.85ms, mfu 0.15%
iter 780: loss 2.3312, time 19.28ms, mfu 0.15%
iter 785: loss 2.3734, time 15.99ms, mfu 0.15%
iter 790: loss 2.4009, time 15.68ms, mfu 0.16%
iter 795: loss 2.3818, time 16.05ms, mfu 0.16%
iter 800: loss 2.3642, time 15.28ms, mfu 0.16%
iter 805: loss 2.4024, time 16.96ms, mfu 0.16%
iter 810: loss 2.3817, time 16.26ms, mfu 0.16%
iter 815: loss 2.3267, time 21.67ms, mfu 0.16%
iter 820: loss 2.4288, time 16.06ms, mfu 0.16%
